"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
10950,"$50,000 under $75,000",1880,720,790,300,1370,4990,2330
10950,"$75,000 under $100,000",1480,400,810,220,1100,4050,1750
10950,"$100,000 under $200,000",3230,380,2550,240,2470,10260,4480
10950,"$200,000 or more",1120,30,1070,20,890,4420,2230
,,,,,,,,
10952,,"12,200","3,500","7,750",790,"9,260","43,180","24,020"
10952,"$1 under $25,000",5340,2010,2960,310,3840,17330,9770
10952,"$25,000 under $50,000",2380,720,1360,260,1760,8690,4980
10952,"$50,000 under $75,000",1130,340,670,90,860,3940,2150
10952,"$75,000 under $100,000",790,170,550,60,630,2920,1580
10952,"$100,000 under $200,000",1520,190,1260,70,1260,6050,3280
10952,"$200,000 or more",1040,70,950,**,910,4250,2260
,,,,,,,,
10954,,"12,380","6,120","4,390","1,560","8,610","22,790","7,050"
10954,"$1 under $25,000",3540,2740,360,390,2280,3890,970
10954,"$25,000 under $50,000",2250,1300,490,410,1530,3900,1190
10954,"$50,000 under $75,000",1670,900,440,270,1200,2870,760
10954,"$75,000 under $100,000",1320,550,500,200,960,2520,710
10954,"$100,000 under $200,000",2660,550,1770,260,1920,6720,2300
10954,"$200,000 or more",940,80,830,30,720,2890,1120
,,,,,,,,
10956,,"15,970","6,940","7,390","1,310","11,620","31,800","10,100"
10956,"$1 under $25,000",4110,3460,370,240,2710,3650,760
10956,"$25,000 under $50,000",2180,1330,490,300,1510,3560,940
10956,"$50,000 under $75,000",1750,920,540,230,1240,3080,800
10956,"$75,000 under $100,000",1400,500,660,200,1070,2920,860
10956,"$100,000 under $200,000",4000,600,3000,290,3080,10700,3700
10956,"$200,000 or more",2530,130,2330,50,2010,7890,3040
,,,,,,,,
10958,,"1,610",700,640,190,"1,040","3,150","1,050"
10958,"$1 under $25,000",490,370,50,60,280,560,160
10958,"$25,000 under $50,000",290,150,60,60,160,520,170
10958,"$50,000 under $75,000",230,90,90,30,140,450,130
10958,"$75,000 under $100,000",180,50,100,40,130,380,100
10958,"$100,000 under $200,000",340,40,270,**,260,970,370
10958,"$200,000 or more",80,**,70,**,70,270,120
,,,,,,,,
10960,,"7,740","4,260","2,300","1,010","5,310","13,080","3,550"
10960,"$1 under $25,000",2310,1830,140,310,1440,2630,670
10960,"$25,000 under $50,000",1470,920,220,300,930,2350,670
10960,"$50,000 under $75,000",1020,640,210,140,660,1570,340
10960,"$75,000 under $100,000",730,340,260,110,520,1310,320
10960,"$100,000 under $200,000",1410,420,830,120,1090,3100,860
10960,"$200,000 or more",800,110,640,30,670,2120,690
,,,,,,,,
10962,,"2,540","1,230","1,080",200,"1,840","4,880","1,490"
10962,"$1 under $25,000",650,570,50,30,420,560,80
10962,"$25,000 under $50,000",370,240,70,50,250,580,150
10962,"$50,000 under $75,000",320,190,90,40,230,520,110
10962,"$75,000 under $100,000",250,100,120,20,190,490,120
10962,"$100,000 under $200,000",590,100,430,60,470,1580,560
10962,"$200,000 or more",360,30,320,**,280,1150,470
,,,,,,,,
10963,,"1,200",540,480,150,730,"2,390",790
10963,"$1 under $25,000",370,270,40,50,190,460,120
10963,"$25,000 under $50,000",240,130,60,40,130,440,140
10963,"$50,000 under $75,000",170,70,70,20,100,360,120
10963,"$75,000 under $100,000",150,40,80,40,100,340,120
10963,"$100,000 under $200,000",240,30,200,**,180,700,260
10963,"$200,000 or more",30,**,30,**,30,90,30
,,,,,,,,
10964,,750,360,310,40,580,"1,380",380
10964,"$1 under $25,000",170,150,30,**,120,140,40
10964,"$25,000 under $50,000",110,80,**,20,80,140,**
10964,"$50,000 under $75,000",90,50,20,**,70,140,50
10964,"$75,000 under $100,000",60,30,20,20,40,100,**
10964,"$100,000 under $200,000",140,20,100,**,110,360,120
10964,"$200,000 or more",180,30,140,**,160,500,170
,,,,,,,,
10965,,"7,890","3,870","3,330",510,"5,660","15,050","4,620"
10965,"$1 under $25,000",1970,1680,180,100,1270,1700,290
10965,"$25,000 under $50,000",1190,820,220,120,750,1700,330
10965,"$50,000 under $75,000",1030,620,270,100,720,1630,340
10965,"$75,000 under $100,000",780,330,340,70,590,1510,390
10965,"$100,000 under $200,000",2020,350,1510,120,1600,5530,2010
10965,"$200,000 or more",900,70,810,**,730,2980,1260
,,,,,,,,
10968,,"1,280",690,430,130,960,"2,060",420
10968,"$1 under $25,000",250,190,30,30,180,250,40
10968,"$25,000 under $50,000",190,140,20,20,120,240,40
10968,"$50,000 under $75,000",190,110,40,40,130,290,60
10968,"$75,000 under $100,000",150,90,40,**,110,230,40
10968,"$100,000 under $200,000",300,120,150,40,240,580,120
10968,"$200,000 or more",200,40,150,**,180,470,120
,,,,,,,,
10969,,650,320,260,70,410,"1,250",410
10969,"$1 under $25,000",200,160,30,**,100,230,60
10969,"$25,000 under $50,000",160,80,40,50,90,290,100
10969,"$50,000 under $75,000",80,40,30,20,60,140,40
10969,"$75,000 under $100,000",70,40,40,**,50,160,50
10969,"$100,000 under $200,000",100,**,80,**,80,310,120
10969,"$200,000 or more",40,**,40,**,30,120,40
,,,,,,,,
10970,,"5,220","2,490","1,820",810,"3,650","9,930","3,200"
10970,"$1 under $25,000",1500,1070,210,210,970,2070,630
10970,"$25,000 under $50,000",1060,590,220,240,710,1920,660
10970,"$50,000 under $75,000",760,380,200,140,520,1350,400
10970,"$75,000 under $100,000",540,220,200,100,400,1090,350
10970,"$100,000 under $200,000",1000,210,670,120,770,2510,840
10970,"$200,000 or more",360,20,320,**,280,990,320
,,,,,,,,
10973,,"1,140",540,480,140,730,"2,200",680
10973,"$1 under $25,000",360,290,30,40,190,360,80
10973,"$25,000 under $50,000",200,130,40,30,110,330,90
10973,"$50,000 under $75,000",140,50,60,30,100,280,70
10973,"$75,000 under $100,000",130,40,80,40,90,320,110
10973,"$100,000 under $200,000",250,30,210,**,190,710,250
10973,"$200,000 or more",60,**,60,**,50,200,80
,,,,,,,,
10974,,"1,560",740,610,160,"1,060","2,980",970
10974,"$1 under $25,000",460,370,30,50,260,420,90
10974,"$25,000 under $50,000",290,170,60,40,200,530,180
10974,"$50,000 under $75,000",210,100,70,30,150,390,110
10974,"$75,000 under $100,000",160,50,90,40,120,370,120
10974,"$100,000 under $200,000",320,50,260,**,240,900,320
10974,"$200,000 or more",120,**,100,**,90,370,150
,,,,,,,,
10975,,170,110,40,20,100,270,70
10975,"$1 under $25,000",50,40,**,20,20,60,**
10975,"$25,000 under $50,000",40,20,**,**,20,60,30
10975,"$50,000 under $75,000",40,50,40,**,30,70,40
10975,"$75,000 under $100,000",20,**,**,**,30,40,**
10975,"$100,000 under $200,000",20,**,**,**,**,40,**
10975,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
10976,,850,500,240,50,620,"1,390",390
10976,"$1 under $25,000",320,280,20,**,220,300,30
10976,"$25,000 under $50,000",170,110,30,30,130,270,80
10976,"$50,000 under $75,000",100,50,30,20,70,180,50
10976,"$75,000 under $100,000",70,30,20,**,50,120,30
10976,"$100,000 under $200,000",120,30,80,**,90,300,110
10976,"$200,000 or more",70,**,60,**,60,220,90
,,,,,,,,
10977,,"24,330","10,070","9,300","4,530","18,370","62,840","30,570"
10977,"$1 under $25,000",11080,6000,3160,1820,8210,25220,12290
10977,"$25,000 under $50,000",6130,2390,1960,1650,4650,16160,8100
10977,"$50,000 under $75,000",2570,880,1040,560,1940,6680,3070
10977,"$75,000 under $100,000",1520,380,840,260,1180,4480,2130
10977,"$100,000 under $200,000",2270,370,1620,220,1780,7160,3280
10977,"$200,000 or more",760,50,680,20,610,3140,1700
,,,,,,,,
10980,,"7,070","3,440","2,680",820,"4,990","13,000","3,970"
10980,"$1 under $25,000",2010,1640,170,180,1240,1920,410
10980,"$25,000 under $50,000",1290,810,230,220,830,2020,520
10980,"$50,000 under $75,000",980,510,270,170,700,1770,530
10980,"$75,000 under $100,000",700,240,340,100,540,1400,370
10980,"$100,000 under $200,000",1530,210,1160,130,1240,4130,1440
10980,"$200,000 or more",560,30,510,20,440,1760,700
,,,,,,,,
10983,,"2,980","1,350","1,350",230,"2,180","5,910","1,850"
10983,"$1 under $25,000",710,600,70,40,500,630,110
10983,"$25,000 under $50,000",430,270,100,50,290,690,160
10983,"$50,000 under $75,000",360,210,100,40,240,580,130
10983,"$75,000 under $100,000",290,110,140,40,220,620,190
10983,"$100,000 under $200,000",810,130,600,60,620,2180,770
10983,"$200,000 or more",380,30,340,**,310,1210,490
,,,,,,,,
10984,,"1,350",630,560,140,950,"2,610",840
10984,"$1 under $25,000",320,280,30,**,200,290,50
10984,"$25,000 under $50,000",240,140,50,60,140,410,130
10984,"$50,000 under $75,000",190,90,50,40,140,360,120
10984,"$75,000 under $100,000",150,60,70,20,120,290,80
10984,"$100,000 under $200,000",340,60,260,20,260,910,320
10984,"$200,000 or more",110,**,100,**,90,350,140
,,,,,,,,
10985,,150,60,70,0,100,300,80
10985,"$1 under $25,000",40,30,**,0,**,40,**
10985,"$25,000 under $50,000",40,30,**,0,40,60,**
10985,"$50,000 under $75,000",20,**,40,0,30,50,50
10985,"$75,000 under $100,000",20,**,**,0,**,60,**
10985,"$100,000 under $200,000",30,**,30,0,30,90,30
10985,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
10986,,940,430,370,110,660,"1,770",540
10986,"$1 under $25,000",260,210,**,30,150,240,50
10986,"$25,000 under $50,000",170,100,40,30,110,250,60
10986,"$50,000 under $75,000",100,40,30,20,80,200,60
10986,"$75,000 under $100,000",110,40,60,30,80,230,70
10986,"$100,000 under $200,000",200,40,160,**,160,540,170
10986,"$200,000 or more",100,**,80,**,80,310,130
,,,,,,,,
10987,,"1,890",820,930,110,"1,250","3,510",840
10987,"$1 under $25,000",600,390,180,**,280,700,50
10987,"$25,000 under $50,000",220,140,60,40,150,330,70
10987,"$50,000 under $75,000",210,110,70,40,150,370,90
10987,"$75,000 under $100,000",160,60,90,**,130,330,80
10987,"$100,000 under $200,000",400,90,270,30,310,940,270
10987,"$200,000 or more",300,30,260,**,230,840,280
,,,,,,,,
10989,,"5,040","2,520","1,940",450,"3,480","9,130","2,530"
10989,"$1 under $25,000",1200,980,120,80,750,1180,220
10989,"$25,000 under $50,000",840,550,170,100,500,1290,300
10989,"$50,000 under $75,000",710,420,170,90,490,1130,250
10989,"$75,000 under $100,000",610,280,230,70,450,1130,290
10989,"$100,000 under $200,000",1240,250,860,110,950,3090,990
10989,"$200,000 or more",440,40,390,**,340,1310,480
,,,,,,,,
10990,,"9,790","4,520","4,190",870,"6,590","18,640","5,620"
10990,"$1 under $25,000",2850,2330,270,200,1550,2680,500
10990,"$25,000 under $50,000",1610,970,350,240,1000,2540,600
10990,"$50,000 under $75,000",1180,550,410,170,800,2130,550
10990,"$75,000 under $100,000",1040,290,610,120,800,2310,670
10990,"$100,000 under $200,000",2190,310,1720,140,1690,6110,2190
10990,"$200,000 or more",920,70,830,**,750,2870,1110
,,,,,,,,
10992,,"4,730","2,250","1,870",540,"3,110","8,960","2,840"
10992,"$1 under $25,000",1370,1160,90,110,740,1230,240
10992,"$25,000 under $50,000",840,530,150,150,490,1330,350
10992,"$50,000 under $75,000",600,290,180,110,420,1130,360
10992,"$75,000 under $100,000",520,140,290,80,390,1190,370
10992,"$100,000 under $200,000",1090,130,880,90,840,3110,1140
10992,"$200,000 or more",310,**,280,**,230,970,380
,,,,,,,,
10993,,"2,530","1,300",620,570,"1,780","4,580","1,630"
10993,"$1 under $25,000",980,730,80,160,650,1240,380
10993,"$25,000 under $50,000",680,320,130,220,480,1300,490
10993,"$50,000 under $75,000",360,150,100,110,260,730,270
10993,"$75,000 under $100,000",220,60,100,50,160,490,170
10993,"$100,000 under $200,000",270,40,210,30,230,760,300
10993,"$200,000 or more",20,**,**,**,**,60,20
,,,,,,,,
10994,,"3,870","1,760","1,740",290,"2,870","7,490","2,310"
10994,"$1 under $25,000",980,840,80,50,670,800,130
10994,"$25,000 under $50,000",530,330,120,70,380,830,200
10994,"$50,000 under $75,000",470,260,130,60,320,780,190
10994,"$75,000 under $100,000",380,140,180,40,290,770,220
10994,"$100,000 under $200,000",900,150,670,70,720,2410,840
10994,"$200,000 or more",610,40,560,**,490,1900,730
,,,,,,,,
10996,,"1,090",420,620,40,400,"3,000","1,350"
10996,"$1 under $25,000",320,300,**,20,90,300,30
10996,"$25,000 under $50,000",120,60,50,**,40,270,110
10996,"$50,000 under $75,000",170,40,130,20,60,620,310
10996,"$75,000 under $100,000",180,**,160,**,70,660,330
10996,"$100,000 under $200,000",250,20,230,**,110,980,500
10996,"$200,000 or more",50,**,50,0,30,170,70
,,,,,,,,
10998,,"1,550",650,710,150,"1,010","3,180","1,060"
10998,"$1 under $25,000",420,340,50,30,230,400,80
10998,"$25,000 under $50,000",270,150,70,40,160,460,120
10998,"$50,000 under $75,000",220,90,90,20,140,430,130
10998,"$75,000 under $100,000",190,40,120,30,130,500,180
10998,"$100,000 under $200,000",370,30,310,30,290,1140,450
10998,"$200,000 or more",80,**,70,**,60,250,100
,,,,,,,,
11001,,"13,870","6,480","5,730","1,350","10,090","26,800","8,490"
11001,"$1 under $25,000",3850,3000,460,340,2630,3920,850
11001,"$25,000 under $50,000",2380,1390,590,330,1670,4060,1120
11001,"$50,000 under $75,000",1800,970,520,240,1290,3160,850
11001,"$75,000 under $100,000",1460,540,660,200,1060,3050,930
11001,"$100,000 under $200,000",3090,490,2320,220,2420,8440,3030
11001,"$200,000 or more",1290,90,1180,20,1020,4170,1710
,,,,,,,,
11003,,"23,980","11,440","5,740","6,270","17,650","43,710","15,400"
11003,"$1 under $25,000",8250,5610,910,1620,5860,11250,3450
11003,"$25,000 under $50,000",6240,2990,1010,2100,4470,11460,4240
11003,"$50,000 under $75,000",3690,1530,920,1110,2790,7040,2430
11003,"$75,000 under $100,000",2410,730,830,770,1840,5090,1860
11003,"$100,000 under $200,000",2980,530,1740,640,2380,7690,2970
11003,"$200,000 or more",410,50,330,30,310,1180,450
,,,,,,,,
11004,,"6,840","3,400","2,610",660,"5,050","12,400","3,370"
11004,"$1 under $25,000",2010,1400,400,160,1460,2450,450
11004,"$25,000 under $50,000",1330,740,390,170,980,2370,650
11004,"$50,000 under $75,000",1080,580,340,130,750,1920,500
11004,"$75,000 under $100,000",860,360,370,90,650,1680,460
11004,"$100,000 under $200,000",1330,290,910,110,1030,3320,1080
11004,"$200,000 or more",230,30,200,**,180,660,230
,,,,,,,,
11005,,"1,450","1,020",400,0,"1,300","1,900",30
11005,"$1 under $25,000",210,190,40,0,180,240,**
11005,"$25,000 under $50,000",150,130,**,0,130,170,**
11005,"$50,000 under $75,000",200,170,20,0,180,230,**
11005,"$75,000 under $100,000",200,150,40,0,180,250,30
11005,"$100,000 under $200,000",440,280,160,0,400,610,**
11005,"$200,000 or more",250,100,140,0,230,400,**
,,,,,,,,
11010,,"12,660","6,290","4,890","1,190","9,580","23,430","6,960"
11010,"$1 under $25,000",3520,2800,390,270,2500,3560,670
11010,"$25,000 under $50,000",2300,1450,480,320,1630,3600,860
11010,"$50,000 under $75,000",1880,1030,530,240,1440,3200,790
11010,"$75,000 under $100,000",1460,480,740,190,1160,3130,940
11010,"$100,000 under $200,000",2840,470,2160,170,2330,7910,2910
11010,"$200,000 or more",660,60,590,**,520,2030,790
,,,,,,,,
11020,,"3,050","1,300","1,390",310,"2,380","6,230","2,060"
11020,"$1 under $25,000",880,670,100,100,660,970,260
11020,"$25,000 under $50,000",450,240,120,80,340,830,260
11020,"$50,000 under $75,000",280,130,100,40,210,540,160
11020,"$75,000 under $100,000",200,80,80,30,150,430,150
11020,"$100,000 under $200,000",540,120,370,60,440,1340,430
11020,"$200,000 or more",700,60,620,**,580,2120,800
,,,,,,,,
11021,,"9,290","4,660","3,730",660,"7,180","17,270","4,920"
11021,"$1 under $25,000",2130,1660,280,140,1630,2220,430
11021,"$25,000 under $50,000",1290,800,310,140,980,2090,520
11021,"$50,000 under $75,000",1190,740,290,120,880,1940,470
11021,"$75,000 under $100,000",930,520,280,90,720,1570,360
11021,"$100,000 under $200,000",1880,690,1020,120,1460,3990,1090
11021,"$200,000 or more",1870,250,1550,50,1510,5460,2050
,,,,,,,,
11023,,"3,980","1,640","2,050",220,"3,280","9,170","3,510"
11023,"$1 under $25,000",990,770,140,60,790,1040,260
11023,"$25,000 under $50,000",540,290,190,40,440,1100,380
11023,"$50,000 under $75,000",420,190,200,30,340,980,360
11023,"$75,000 under $100,000",320,130,150,30,270,780,310
11023,"$100,000 under $200,000",770,190,530,40,650,2130,840
11023,"$200,000 or more",940,70,840,20,790,3140,1360
,,,,,,,,
11024,,"3,160","1,440","1,480",160,"2,740","6,780","2,560"
11024,"$1 under $25,000",960,740,130,60,800,960,260
11024,"$25,000 under $50,000",430,230,150,40,350,850,290
11024,"$50,000 under $75,000",300,170,110,30,250,630,220
11024,"$75,000 under $100,000",210,90,100,**,180,500,200
11024,"$100,000 under $200,000",470,120,320,30,420,1310,520
11024,"$200,000 or more",790,90,670,**,740,2530,1070
,,,,,,,,
11030,,"8,590","3,620","4,420",380,"6,860","18,130","6,110"
11030,"$1 under $25,000",1880,1660,140,60,1410,1280,200
11030,"$25,000 under $50,000",770,530,140,80,570,1130,250
11030,"$50,000 under $75,000",740,480,170,50,550,1150,250
11030,"$75,000 under $100,000",560,290,220,40,440,1070,290
11030,"$100,000 under $200,000",1370,410,850,60,1110,3100,890
11030,"$200,000 or more",3270,250,2900,90,2780,10400,4230
,,,,,,,,
11040,,"21,320","9,540","9,790","1,490","15,950","42,700","13,440"
11040,"$1 under $25,000",5530,4310,830,310,3960,5480,930
11040,"$25,000 under $50,000",3430,2000,950,370,2470,5860,1520
11040,"$50,000 under $75,000",2760,1470,940,260,2030,4980,1280
11040,"$75,000 under $100,000",2180,830,1040,220,1680,4520,1300
11040,"$100,000 under $200,000",5140,780,3980,280,3980,14660,5540
11040,"$200,000 or more",2280,150,2050,50,1830,7200,2870
,,,,,,,,
11050,,"15,030","6,990","6,530","1,190","11,550","29,520","9,360"
11050,"$1 under $25,000",4120,3260,410,380,3030,4180,960
11050,"$25,000 under $50,000",2070,1250,500,260,1550,3430,930
11050,"$50,000 under $75,000",1560,910,430,180,1170,2690,700
11050,"$75,000 under $100,000",1180,560,470,110,900,2210,570
11050,"$100,000 under $200,000",2700,720,1730,180,2100,6350,1930
11050,"$200,000 or more",3400,290,2990,80,2800,10660,4270
,,,,,,,,
11096,,"4,100","1,970","1,010","1,070","3,100","8,000","3,140"
11096,"$1 under $25,000",2000,1220,250,510,1470,3260,1230
11096,"$25,000 under $50,000",1000,410,260,310,760,2100,850
11096,"$50,000 under $75,000",490,190,150,140,380,1040,400
11096,"$75,000 under $100,000",290,90,140,60,230,690,270
11096,"$100,000 under $200,000",280,60,180,50,230,780,320
11096,"$200,000 or more",40,**,30,**,30,130,70
,,,,,,,,
11101,,"18,530","11,180","4,320","2,510","10,300","29,840","7,390"
11101,"$1 under $25,000",5730,3670,800,1160,3480,8780,2650
11101,"$25,000 under $50,000",3590,2150,570,770,2010,6010,1860
11101,"$50,000 under $75,000",2740,1960,390,270,1340,3880,760
11101,"$75,000 under $100,000",1810,1220,380,130,890,2650,450
11101,"$100,000 under $200,000",3120,1760,1130,140,1610,5110,850
11101,"$200,000 or more",1540,420,1050,40,970,3410,820
,,,,,,,,
11102,,"19,250","12,100","4,330","2,350","11,540","30,920","7,820"
11102,"$1 under $25,000",6820,4510,1110,1070,4480,10570,3080
11102,"$25,000 under $50,000",4500,2930,840,620,2580,7320,2010
11102,"$50,000 under $75,000",3360,2290,580,370,1780,5010,1070
11102,"$75,000 under $100,000",1900,1240,440,150,1050,2850,520
11102,"$100,000 under $200,000",2200,1020,1020,120,1330,4090,870
11102,"$200,000 or more",470,110,340,20,320,1080,270
,,,,,,,,
11103,,"20,830","13,640","4,930","1,800","12,820","32,540","7,340"
11103,"$1 under $25,000",7090,4980,1250,730,4870,10390,2590
11103,"$25,000 under $50,000",5080,3490,980,470,2910,7830,1780
11103,"$50,000 under $75,000",4060,2860,750,350,2270,5960,1160
11103,"$75,000 under $100,000",2040,1250,610,140,1190,3300,650
11103,"$100,000 under $200,000",2170,950,1070,110,1340,4150,910
11103,"$200,000 or more",390,110,270,**,240,910,250
,,,,,,,,
11104,,"15,110","8,790","4,350","1,540","10,000","25,140","6,110"
11104,"$1 under $25,000",5230,3530,990,580,3710,7650,1840
11104,"$25,000 under $50,000",3460,2020,880,450,2280,6010,1690
11104,"$50,000 under $75,000",2610,1630,590,300,1590,4130,930
11104,"$75,000 under $100,000",1570,860,530,110,940,2580,480
11104,"$100,000 under $200,000",1830,660,1050,100,1190,3770,890
11104,"$200,000 or more",410,90,310,**,290,1000,280
,,,,,,,,
11105,,"19,670","12,110","5,410","1,670","12,700","31,780","7,300"
11105,"$1 under $25,000",6400,4530,1180,560,4480,9010,1990
11105,"$25,000 under $50,000",4530,3100,900,430,2640,6960,1560
11105,"$50,000 under $75,000",3610,2450,690,350,2100,5340,1050
11105,"$75,000 under $100,000",2030,1110,670,160,1260,3410,710
11105,"$100,000 under $200,000",2460,800,1480,140,1730,5390,1450
11105,"$200,000 or more",640,120,490,30,490,1670,540
,,,,,,,,
11106,,"21,880","13,890","4,970","2,480","13,310","34,690","8,400"
11106,"$1 under $25,000",7650,5130,1320,1060,5090,11720,3290
11106,"$25,000 under $50,000",5090,3340,890,730,2960,8120,2160
11106,"$50,000 under $75,000",3930,2700,710,380,2150,5780,1140
11106,"$75,000 under $100,000",2200,1420,550,160,1230,3380,630
11106,"$100,000 under $200,000",2510,1170,1150,150,1550,4570,910
11106,"$200,000 or more",500,130,350,**,330,1120,270
,,,,,,,,
11109,,"3,560","2,160","1,140",120,"1,960","5,460",810
11109,"$1 under $25,000",360,290,60,30,200,410,40
11109,"$25,000 under $50,000",300,250,**,**,130,340,30
11109,"$50,000 under $75,000",400,330,40,30,200,490,50
11109,"$75,000 under $100,000",410,310,60,**,200,500,40
11109,"$100,000 under $200,000",1110,700,330,30,570,1630,190
11109,"$200,000 or more",980,280,650,30,660,2090,460
,,,,,,,,
11201,,"31,970","20,000","8,750","2,310","19,070","50,340","10,520"
11201,"$1 under $25,000",5900,4420,560,780,3530,7420,1810
11201,"$25,000 under $50,000",4120,3040,400,550,2250,5590,1110
11201,"$50,000 under $75,000",4310,3460,390,320,2180,5410,720
11201,"$75,000 under $100,000",3590,2810,460,190,1940,4570,530
11201,"$100,000 under $200,000",7100,4420,2190,250,4090,10920,1620
11201,"$200,000 or more",6950,1850,4750,220,5080,16430,4730
,,,,,,,,
11203,,"37,760","18,560","5,290","12,980","26,270","64,460","22,620"
11203,"$1 under $25,000",16110,10080,1240,4550,10850,23740,7590
11203,"$25,000 under $50,000",11100,4860,1300,4630,7660,19960,7570
11203,"$50,000 under $75,000",5520,2170,930,2230,3930,10060,3620
11203,"$75,000 under $100,000",2690,890,710,970,2030,5320,1910
11203,"$100,000 under $200,000",2140,520,980,580,1640,4860,1740
11203,"$200,000 or more",200,40,130,20,160,520,190
,,,,,,,,
11204,,"33,200","14,000","14,630","4,100","24,990","76,280","29,960"
11204,"$1 under $25,000",16610,8410,5950,2060,12510,32790,11690
11204,"$25,000 under $50,000",7590,2880,3470,1110,5620,19200,8170
11204,"$50,000 under $75,000",3720,1540,1540,560,2730,8380,3130
11204,"$75,000 under $100,000",2020,630,1140,200,1510,5020,1860
11204,"$100,000 under $200,000",2430,450,1800,170,1900,7650,3420
11204,"$200,000 or more",830,90,730,**,720,3240,1690
,,,,,,,,
11205,,"18,770","10,620","4,630","3,170","11,260","38,050","15,130"
11205,"$1 under $25,000",7000,4040,1550,1340,4280,15100,6990
11205,"$25,000 under $50,000",4250,2470,710,980,2430,8340,3400
11205,"$50,000 under $75,000",2700,1820,380,440,1400,4480,1400
11205,"$75,000 under $100,000",1600,1010,320,210,940,2690,780
11205,"$100,000 under $200,000",2200,1060,920,160,1400,4570,1450
11205,"$200,000 or more",1020,220,750,40,810,2870,1110
,,,,,,,,
11206,,"36,490","21,230","6,370","8,350","21,310","68,760","26,880"
11206,"$1 under $25,000",17360,10050,2890,4210,10680,33590,14270
11206,"$25,000 under $50,000",10000,5770,1410,2660,5540,18450,7090
11206,"$50,000 under $75,000",4930,3170,710,960,2580,8110,2480
11206,"$75,000 under $100,000",2140,1290,470,330,1180,3730,1120
11206,"$100,000 under $200,000",1730,850,670,190,1080,3790,1390
11206,"$200,000 or more",330,100,220,**,250,1090,530
,,,,,,,,
11207,,"43,530","21,970","4,970","15,880","29,280","77,840","30,570"
11207,"$1 under $25,000",22470,13210,1640,7380,15100,37860,14930
11207,"$25,000 under $50,000",12270,5390,1310,5340,7940,22920,9360
11207,"$50,000 under $75,000",5000,2090,810,1960,3440,9300,3500
11207,"$75,000 under $100,000",2160,780,540,770,1560,4230,1540
11207,"$100,000 under $200,000",1510,470,600,430,1140,3240,1140
11207,"$200,000 or more",120,30,70,**,100,290,100
,,,,,,,,
11208,,"44,010","20,280","7,400","15,730","32,740","84,560","34,600"
11208,"$1 under $25,000",23690,13090,3010,7360,17760,42020,16740
11208,"$25,000 under $50,000",12310,4710,2100,5300,8970,25120,10730
11208,"$50,000 under $75,000",4820,1660,1060,2000,3530,10000,4120
11208,"$75,000 under $100,000",1820,530,580,670,1400,4020,1620
11208,"$100,000 under $200,000",1280,270,600,400,1010,3200,1320
11208,"$200,000 or more",90,20,50,**,70,200,70
,,,,,,,,
11209,,"34,110","18,740","10,830","3,630","23,560","61,140","17,560"
11209,"$1 under $25,000",10950,7380,2210,1150,7620,16550,4710
11209,"$25,000 under $50,000",6560,3980,1530,880,4260,11440,3390
11209,"$50,000 under $75,000",5560,3380,1290,680,3570,9090,2250
11209,"$75,000 under $100,000",3820,1980,1240,440,2660,6810,1750
11209,"$100,000 under $200,000",5280,1730,3010,410,3890,11790,3500
11209,"$200,000 or more",1940,290,1550,70,1560,5460,1960
,,,,,,,,
11210,,"29,470","13,750","6,820","8,190","20,830","56,960","22,090"
11210,"$1 under $25,000",11580,7210,1260,2910,7950,17410,5930
11210,"$25,000 under $50,000",7590,3380,1210,2790,5260,14400,5640
11210,"$50,000 under $75,000",4230,1710,950,1420,3040,8360,3190
11210,"$75,000 under $100,000",2230,780,730,640,1630,4840,1880
11210,"$100,000 under $200,000",2650,570,1610,400,1970,7400,3140
11210,"$200,000 or more",1190,100,1060,30,980,4550,2310
,,,,,,,,
11211,,"30,950","20,310","6,930","3,120","17,840","53,500","16,240"
11211,"$1 under $25,000",10060,5920,2600,1400,6310,20570,8450
11211,"$25,000 under $50,000",6720,4620,1020,980,3740,11050,3360
11211,"$50,000 under $75,000",4980,3830,590,430,2470,7020,1460
11211,"$75,000 under $100,000",3080,2370,480,140,1590,4390,840
11211,"$100,000 under $200,000",4190,2770,1190,130,2350,6550,1180
11211,"$200,000 or more",1920,800,1050,40,1380,3920,950
,,,,,,,,
11212,,"38,370","18,180","3,900","15,640","25,990","70,690","29,440"
11212,"$1 under $25,000",20670,11690,1230,7490,13710,35810,14930
11212,"$25,000 under $50,000",10750,4150,1150,5240,7220,20830,8930
11212,"$50,000 under $75,000",4260,1600,660,1890,3040,8210,3290
11212,"$75,000 under $100,000",1620,480,440,650,1200,3400,1340
11212,"$100,000 under $200,000",1030,260,400,370,790,2340,910
11212,"$200,000 or more",40,**,20,**,30,100,40
,,,,,,,,
11213,,"29,300","15,680","4,400","8,700","17,980","52,820","19,960"
11213,"$1 under $25,000",13450,8310,1270,3710,8130,21830,7910
11213,"$25,000 under $50,000",8470,4260,1110,2930,5020,15720,6170
11213,"$50,000 under $75,000",4010,1990,630,1280,2470,7240,2600
